Postcode,County
BB10,Lancashire
BB11,Lancashire
BB12,Lancashire
BB18,Lancashire
BB2,Lancashire
BB3,Lancashire
BB4,Lancashire
BB5,Lancashire
BB6,Lancashire
BB7,Lancashire
BB8,Lancashire
BB9,Lancashire
BD1,West Yorkshire
BD10,West Yorkshire
BD11,West Yorkshire
BD12,West Yorkshire
BD13,West Yorkshire
BD14,West Yorkshire
BD15,West Yorkshire
BD16,West Yorkshire
BD17,West Yorkshire
BD18,West Yorkshire
BD19,West Yorkshire
BD2,West Yorkshire
BD20,West Yorkshire
BD21,West Yorkshire
BD22,West Yorkshire
BD23,North Yorkshire
BD24,North Yorkshire
BD3,West Yorkshire
BD4,West Yorkshire
BD5,West Yorkshire
BD6,West Yorkshire
BD7,West Yorkshire
BD8,West Yorkshire
BD9,West Yorkshire
BD97,West Yorkshire
BD98,West Yorkshire
BD99,West Yorkshire
BH1,Hampshire
BH10,Hampshire
BH11,Hampshire
BH12,Dorset
BH13,Dorset
BH14,Dorset
BH15,Dorset
BH16,Dorset
BH17,Dorset
BH18,Dorset
BH19,Dorset
BH2,Hampshire
BH20,Dorset
BH21,Dorset
BH22,Dorset
BH23,Hampshire
BH24,Hampshire
BH25,Hampshire
BH3,Hampshire
BH31,Dorset
BH4,Hampshire
BH5,Hampshire
BH6,Hampshire
BH7,Hampshire
BH8,Hampshire
BH9,Hampshire
BL0,Lancashire
BL1,Lancashire
BL2,Lancashire
BL3,Lancashire
BL4,Lancashire
BL5,Lancashire
BL6,Lancashire
BL7,Lancashire
BL78,Lancashire
BL8,Lancashire
BL9,Lancashire
BN1,Sussex
BN10,Sussex
BN11,Sussex
BN12,Sussex
BN13,Sussex
BN14,Sussex
BN15,Sussex
BN16,Sussex
BN17,Sussex
BN18,Sussex
BN2,Sussex
BN20,Sussex
BN21,Sussex
BN22,Sussex
BN23,Sussex
BN24,Sussex
BN25,Sussex
BN26,Sussex
BN27,Sussex
BN3,Sussex
BN41,Sussex
BN42,Sussex
BN43,Sussex
BN44,Sussex
BN45,Sussex
BN51,Sussex
BN52,Sussex
BN53,Sussex
BN5,Sussex
BN6,Sussex
BN7,Sussex
BN8,Sussex
BN9,Sussex
BR1,Kent
BR2,Kent
BR3,Kent
BR4,Kent
BR5,Kent
BR6,Kent
BR7,Kent
BR8,Kent
BS1,Gloucestershire
BS10,Gloucestershire
BS11,Gloucestershire
BS13,Gloucestershire
BS14,Gloucestershire
BS15,Gloucestershire
BS16,Gloucestershire
BS2,Gloucestershire
BS20,Gloucestershire
BS21,Somerset
BS22,Somerset
BS23,Somerset
BS24,Somerset
BS25,Somerset
BS26,Somerset
BS27,Somerset
BS28,Somerset
BS29,Somerset
BS3,Gloucestershire
BS30,Gloucestershire
BS31,Gloucestershire
BS32,Gloucestershire
BS34,Gloucestershire
BS35,Gloucestershire
BS36,Gloucestershire
BS37,Gloucestershire
BS39,Gloucestershire
BS4,Gloucestershire
BS40,Gloucestershire
BS41,Gloucestershire
BS48,Gloucestershire
BS49,Gloucestershire
BS5,Gloucestershire
BS6,Gloucestershire
BS7,Gloucestershire
BS8,Gloucestershire
BS9,Gloucestershire
BS99,Gloucestershire
BT1,County Antrim
BT10,County Antrim
BT11,County Antrim
BT12,County Antrim
BT13,County Antrim
BT14,County Antrim
BT15,County Antrim
BT16,County Antrim
BT17,County Antrim
BT18,County Down
BT19,County Down
BT2,County Antrim
BT20,County Down
BT21,County Down
BT22,County Down
BT23,County Down
BT24,County Down
BT25,County Down
BT26,County Down
BT27,County Antrim
BT28,County Antrim
BT29,County Antrim
BT3,County Antrim
BT30,County Down
BT31,County Down
BT32,County Down
BT33,County Down
BT34,County Down
BT35,County Down
BT36,County Antrim
BT37,County Antrim
BT38,County Antrim
BT39,County Antrim
BT4,County Antrim
BT40,County Antrim
BT41,County Antrim
BT42,County Antrim
BT43,County Antrim
BT44,County Antrim
BT45,County Londonderry
BT46,County Londonderry
BT47,County Londonderry
BT48,County Londonderry
BT49,County Londonderry
BT5,County Antrim
BT51,County Londonderry
BT52,County Londonderry
BT53,County Antrim
BT54,County Antrim
BT55,County Londonderry
BT56,County Antrim
BT57,County Antrim
BT6,County Antrim
BT60,County Armagh
BT61,County Armagh
BT62,County Armagh
BT63,County Armagh
BT64,County Armagh
BT65,County Armagh
BT66,County Armagh
BT67,County Armagh
BT68,County Tyrone
BT69,County Tyrone
BT7,County Antrim
BT70,County Tyrone
BT71,County Tyrone
BT74,County Fermanagh
BT75,County Tyrone
BT76,County Tyrone
BT77,County Tyrone
BT78,County Tyrone
BT79,County Tyrone
BT8,County Antrim
BT80,County Tyrone
BT81,County Tyrone
BT82,County Tyrone
BT9,County Antrim
BT92,County Fermanagh
BT93,County Fermanagh
BT94,County Fermanagh
CA1,Cumberland
CA10,Cumberland
CA11,Cumberland
CA12,Cumberland
CA13,Cumberland
CA14,Cumberland
CA15,Cumberland
CA16,Westmorland
CA17,Westmorland
CA18,Cumberland
CA19,Cumberland
CA2,Cumberland
CA20,Cumberland
CA21,Cumberland
CA22,Cumberland
CA23,Cumberland
CA24,Cumberland
CA25,Cumberland
CA26,Cumberland
CA27,Cumbria
CA28,Cumberland
CA3,Cumberland
CA4,Cumberland
CA5,Cumberland
CA6,Cumberland
CA7,Cumberland
CA8,Cumberland
CA9,Cumberland
CB1,Cambridgeshire
CB10,Essex
CB11,Essex
CB2,Cambridgeshire
CB3,Cambridgeshire
CB4,Cambridgeshire
CB5,Cambridgeshire
CB6,Cambridgeshire
CB7,Cambridgeshire
CB8,Suffolk
CB9,Suffolk
CF10,Glamorgan
CF11,Glamorgan
CF14,Glamorgan
CF15,Glamorgan
CF23,Glamorgan
CF24,Glamorgan
CF3,Glamorgan
CF31,Glamorgan
CF32,Glamorgan
CF33,Glamorgan
CF34,Glamorgan
CF35,Glamorgan
CF36,Glamorgan
CF37,Glamorgan
CF38,Glamorgan
CF39,Glamorgan
CF40,Glamorgan
CF41,Glamorgan
CF42,Glamorgan
CF43,Glamorgan
CF44,Glamorgan
CF45,Glamorgan
CF46,Glamorgan
CF47,Glamorgan
CF48,Glamorgan
CF5,Glamorgan
CF61,Glamorgan
CF62,Glamorgan
CF63,Glamorgan
CF64,Glamorgan
CF71,Glamorgan
CF72,Glamorgan
CF81,Glamorgan
CF82,Glamorgan
CF83,Glamorgan
CH1,Cheshire
CH2,Cheshire
CH3,Cheshire
CH4,Cheshire
CH41,Cheshire
CH42,Cheshire
CH43,Cheshire
CH44,Cheshire
CH45,Cheshire
CH46,Cheshire
CH47,Cheshire
CH48,Cheshire
CH49,Cheshire
CH5,Flintshire
CH6,Flintshire
CH60,Cheshire
CH61,Cheshire
CH62,Cheshire
CH63,Cheshire
CH64,Cheshire
CH65,Cheshire
CH66,Cheshire
CH7,Flintshire
CH8,Flintshire
CM0,Essex
CM1,Essex
CM11,Essex
CM12,Essex
CM13,Essex
CM14,Essex
CM15,Essex
CM16,Essex
CM17,Essex
CM18,Essex
CM19,Essex
CM2,Essex
CM20,Essex
CM21,Hertfordshire
CM22,Hertfordshire
CM23,Hertfordshire
CM24,Essex
CM3,Essex
CM4,Essex
CM5,Essex
CM6,Essex
CM7,Essex
CM8,Essex
CM9,Essex
CO1,Essex
CO10,Suffolk
CO11,Essex
CO12,Essex
CO13,Essex
CO14,Essex
CO15,Essex
CO16,Essex
CO2,Essex
CO3,Essex
CO4,Essex
CO5,Essex
CO6,Essex
CO7,Essex
CO8,Suffolk
CO9,Essex
CR0,Surrey
CR2,Surrey
CR3,Surrey
CR4,Surrey
CR5,Surrey
CR6,Surrey
CR7,Surrey
CR8,Surrey
CT1,Kent
CT10,Kent
CT11,Kent
CT12,Kent
CT13,Kent
CT14,Kent
CT15,Kent
CT16,Kent
CT17,Kent
CT18,Kent
CT19,Kent
CT2,Kent
CT20,Kent
CT21,Kent
CT3,Kent
CT4,Kent
CT5,Kent
CT6,Kent
CT7,Kent
CT8,Kent
CT9,Kent
CV1,West Midlands
CV10,Warwickshire
CV11,Warwickshire
CV12,Warwickshire
CV13,Warwickshire
CV2,West Midlands
CV21,Warwickshire
CV22,Warwickshire
CV23,Warwickshire
CV3,West Midlands
CV31,Warwickshire
CV32,Warwickshire
CV33,Warwickshire
CV34,Warwickshire
CV35,Warwickshire
CV36,Warwickshire
CV37,Warwickshire
CV4,West Midlands
CV47,Warwickshire
CV5,West Midlands
CV6,West Midlands
CV7,West Midlands
CV8,Warwickshire
CV9,Warwickshire
CW1,Cheshire
CW10,Cheshire
CW11,Cheshire
CW12,Cheshire
CW2,Cheshire
CW3,Cheshire
CW4,Cheshire
CW5,Cheshire
CW6,Cheshire
CW7,Cheshire
CW8,Cheshire
CW9,Cheshire
DA1,Kent
DA10,Kent
DA11,Kent
DA12,Kent
DA13,Kent
DA14,Kent
DA15,Kent
DA16,Kent
DA17,Kent
DA18,Kent
DA2,Kent
DA3,Kent
DA4,Kent
DA5,Kent
DA6,Kent
DA7,Kent
DA8,Kent
DA9,Kent
DD1,Angus
DD10,Angus
DD11,Angus
DD2,Angus
DD3,Angus
DD4,Angus
DD5,Angus
DD6,Fife
DD7,Angus
DD8,Angus
DD9,Angus
DE1,Derbyshire
DE11,Derbyshire
DE12,Derbyshire
DE13,Staffordshire
DE14,Staffordshire
DE15,Staffordshire
DE21,Derbyshire
DE22,Derbyshire
DE23,Derbyshire
DE24,Derbyshire
DE3,Derbyshire
DE4,Derbyshire
DE45,Derbyshire
DE5,Derbyshire
DE55,Derbyshire
DE56,Derbyshire
DE6,Derbyshire
DE65,Derbyshire
DE7,Derbyshire
DE72,Derbyshire
DE73,Derbyshire
DE74,Derbyshire
DE75,Derbyshire
DG1,Dumfries and Galloway
DG10,Dumfriesshire
DG11,Dumfriesshire
DG12,Dumfriesshire
DG13,Dumfriesshire
DG14,Dumfriesshire
DG16,Dumfriesshire
DG2,Dumfries and Galloway
DG3,Dumfriesshire
DG4,Dumfriesshire
DG5,Kirkcudbrightshire
DG6,Dumfries and Galloway
DG7,Kirkcudbrightshire
DG8,Wigtownshire
DG9,Wigtownshire
DH1,County Durham
DH2,County Durham
DH3,County Durham
DH4,County Durham
DH5,County Durham
DH6,County Durham
DH7,County Durham
DH8,County Durham
DH9,County Durham
DL1,County Durham
DL10,North Yorkshire
DL11,North Yorkshire
DL12,County Durham
DL13,County Durham
DL14,County Durham
DL15,County Durham
DL16,County Durham
DL17,County Durham
DL2,County Durham
DL3,County Durham
DL4,County Durham
DL5,County Durham
DL6,North Yorkshire
DL7,North Yorkshire
DL8,North Yorkshire
DL9,North Yorkshire
DN1,South Yorkshire
DN10,South Yorkshire
DN11,South Yorkshire
DN12,South Yorkshire
DN14,East Yorkshire
DN15,Lincolnshire
DN16,Lincolnshire
DN17,Lincolnshire
DN18,Lincolnshire
DN19,Lincolnshire
DN2,South Yorkshire
DN20,Lincolnshire
DN21,Lincolnshire
DN22,Nottinghamshire
DN3,South Yorkshire
DN31,Lincolnshire
DN32,Lincolnshire
DN33,Lincolnshire
DN34,Lincolnshire
DN35,Lincolnshire
DN36,Lincolnshire
DN37,Lincolnshire
DN38,Lincolnshire
DN39,Lincolnshire
DN4,South Yorkshire
DN40,Lincolnshire
DN41,Lincolnshire
DN5,South Yorkshire
DN6,South Yorkshire
DN7,South Yorkshire
DN8,South Yorkshire
DN9,South Yorkshire
DT1,Dorset
DT10,Dorset
DT11,Dorset
DT2,Dorset
DT3,Dorset
DT4,Dorset
DT5,Dorset
DT6,Dorset
DT7,Dorset
DT8,Dorset
DT9,Dorset
DY1,Worcestershire
DY10,Worcestershire
DY11,Worcestershire
DY12,Worcestershire
DY13,Worcestershire
DY14,Worcestershire
DY2,Worcestershire
DY3,Worcestershire
DY4,Staffordshire
DY5,Staffordshire
DY6,Staffordshire
DY7,Worcestershire
DY8,Worcestershire
DY9,Worcestershire
E1,London
E10,London
E11,London
E12,London
E13,London
E14,London
E15,London
E16,London
E17,London
E18,London
E1W,London
E2,London
E3,London
E4,London
E5,London
E6,London
E7,London
E8,London
E9,London
EC1,City of London
EC1A,City of London
EC1M,City of London
EC1N,City of London
EC1R,City of London
EC1V,City of London
EC1Y,City of London
EC2,City of London
EC2A,City of London
EC2M,City of London
EC2N,City of London
EC2R,City of London
EC2V,City of London
EC2Y,City of London
EC3,City of London
EC3A,City of London
EC3M,City of London
EC3N,City of London
EC3P,City of London
EC3R,City of London
EC3V,City of London
EC4,City of London
EC4A,City of London
EC4M,City of London
EC4N,City of London
EC4R,City of London
EC4V,City of London
EC4Y,City of London
EH1,Edinburgh
EH10,Edinburgh
EH11,Edinburgh
EH12,Edinburgh
EH13,Edinburgh
EH14,Midlothian
EH15,Edinburgh
EH16,Edinburgh
EH17,Edinburgh
EH18,Midlothian
EH19,Midlothian
EH2,Edinburgh
EH20,Midlothian
EH21,Midlothian
EH22,Midlothian
EH23,Midlothian
EH24,Midlothian
EH25,Midlothian
EH26,Midlothian
EH27,Midlothian
EH28,Midlothian
EH29,West Lothian
EH3,Edinburgh
EH30,West Lothian
EH31,East Lothian
EH32,East Lothian
EH33,East Lothian
EH34,East Lothian
EH35,East Lothian
EH36,East Lothian
EH37,Midlothian
EH38,Midlothian
EH39,East Lothian
EH4,Edinburgh
EH40,East Lothian
EH41,East Lothian
EH42,East Lothian
EH43,Peeblesshire
EH44,Peeblesshire
EH45,Tweeddale
EH46,Peeblesshire
EH47,West Lothian
EH48,West Lothian
EH49,West Lothian
EH5,Edinburgh
EH51,West Lothian
EH52,West Lothian
EH53,West Lothian
EH54,West Lothian
EH55,Midlothian
EH6,Edinburgh
EH7,Edinburgh
EH8,Edinburgh
EH9,Edinburgh
EN1,Middlesex
EN10,Hertfordshire
EN11,Hertfordshire
EN2,Middlesex
EN3,Middlesex
EN4,Hertfordshire
EN5,Hertfordshire
EN6,Middlesex
EN7,Hertfordshire
EN8,Hertfordshire
EN9,Essex
EX1,Devon
EX10,Devon
EX11,Devon
EX12,Devon
EX13,Devon
EX14,Devon
EX15,Devon
EX16,Devon
EX17,Devon
EX18,Devon
EX19,Devon
EX2,Devon
EX20,Devon
EX21,Devon
EX22,Devon
EX23,Cornwall
EX24,Devon
EX3,Devon
EX31,Devon
EX32,Devon
EX33,Devon
EX34,Devon
EX35,Devon
EX36,Devon
EX37,Devon
EX38,Devon
EX39,Devon
EX4,Devon
EX5,Devon
EX6,Devon
EX7,Devon
EX8,Devon
EX9,Devon
FK1,Stirlingshire
FK10,Clackmannanshire
FK11,Clackmannanshire
FK12,Clackmannanshire
FK13,Clackmannanshire
FK14,Clackmannanshire
FK15,Perthshire
FK16,Perthshire
FK17,Perthshire
FK18,Perthshire
FK19,Perthshire
FK2,Stirlingshire
FK20,Perthshire
FK21,Perthshire
FK3,Stirlingshire
FK4,Stirlingshire
FK5,Stirlingshire
FK6,Stirlingshire
FK7,Stirlingshire
FK8,Stirlingshire
FK9,Stirlingshire
FY1,Lancashire
FY2,Lancashire
FY3,Lancashire
FY4,Lancashire
FY5,Lancashire
FY6,Lancashire
FY7,Lancashire
FY8,Lancashire
G1,Lanarkshire
G11,Lanarkshire
G12,Lanarkshire
G13,Lanarkshire
G14,Lanarkshire
G15,Lanarkshire
G2,Lanarkshire
G20,Lanarkshire
G21,Lanarkshire
G22,Lanarkshire
G23,Lanarkshire
G3,Lanarkshire
G31,Lanarkshire
G32,Lanarkshire
G33,Lanarkshire
G34,Lanarkshire
G4,Lanarkshire
G40,Lanarkshire
G41,Lanarkshire
G42,Lanarkshire
G43,Lanarkshire
G44,Lanarkshire
G45,Lanarkshire
G46,Lanarkshire
G5,Lanarkshire
G51,Lanarkshire
G52,Lanarkshire
G53,Lanarkshire
G60,Lanarkshire
G61,Lanarkshire
G62,Lanarkshire
G63,Lanarkshire
G64,Lanarkshire
G65,Lanarkshire
G66,Lanarkshire
G67,Lanarkshire
G68,Lanarkshire
G69,Lanarkshire
G71,Lanarkshire
G72,Lanarkshire
G73,Lanarkshire
G74,Lanarkshire
G76,Lanarkshire
G77,Lanarkshire
G78,Lanarkshire
G81,Dunbartonshire
G82,Dunbartonshire
G83,Dunbartonshire
G84,Dunbartonshire
GL1,Gloucestershire
GL10,Gloucestershire
GL11,Gloucestershire
GL12,Gloucestershire
GL13,Gloucestershire
GL14,Gloucestershire
GL15,Gloucestershire
GL16,Gloucestershire
GL17,Gloucestershire
GL18,Gloucestershire
GL19,Gloucestershire
GL2,Gloucestershire
GL20,Gloucestershire
GL3,Gloucestershire
GL4,Gloucestershire
GL5,Gloucestershire
GL50,Gloucestershire
GL51,Gloucestershire
GL52,Gloucestershire
GL53,Gloucestershire
GL54,Gloucestershire
GL55,Gloucestershire
GL56,Gloucestershire
GL6,Gloucestershire
GL7,Gloucestershire
GL8,Gloucestershire
GL9,Gloucestershire
GU1,Surrey
GU10,Surrey
GU11,Hampshire
GU12,Hampshire
GU13,Hampshire
GU14,Hampshire
GU15,Surrey
GU16,Surrey
GU17,Surrey
GU18,Surrey
GU19,Surrey
GU2,Surrey
GU20,Surrey
GU21,Surrey
GU22,Surrey
GU23,Surrey
GU24,Surrey
GU25,Surrey
GU26,Surrey
GU27,Surrey
GU28,Sussex
GU29,Sussex
GU3,Surrey
GU30,Hampshire
GU31,Hampshire
GU32,Hampshire
GU33,Hampshire
GU34,Hampshire
GU35,Hampshire
GU4,Surrey
GU46,Hampshire
GU47,Berkshire
GU5,Surrey
GU51,Hampshire
GU52,Hampshire
GU6,Surrey
GU7,Surrey
GU8,Surrey
GU9,Surrey
HA0,Middlesex
HA1,Middlesex
HA2,Middlesex
HA3,Middlesex
HA4,Middlesex
HA5,Middlesex
HA6,Middlesex
HA7,Middlesex
HA8,Middlesex
HA9,Middlesex
HD1,West Yorkshire
HD2,West Yorkshire
HD3,West Yorkshire
HD4,West Yorkshire
HD5,West Yorkshire
HD6,West Yorkshire
HD7,West Yorkshire
HD8,West Yorkshire
HD9,West Yorkshire
HG1,North Yorkshire
HG2,North Yorkshire
HG3,North Yorkshire
HG4,North Yorkshire
HG5,North Yorkshire
HP1,Hertfordshire
HP10,Buckinghamshire
HP11,Buckinghamshire
HP12,Buckinghamshire
HP13,Buckinghamshire
HP14,Buckinghamshire
HP15,Buckinghamshire
HP16,Buckinghamshire
HP17,Buckinghamshire
HP18,Buckinghamshire
HP19,Buckinghamshire
HP2,Hertfordshire
HP20,Buckinghamshire
HP21,Buckinghamshire
HP22,Buckinghamshire
HP23,Hertfordshire
HP27,Buckinghamshire
HP3,Hertfordshire
HP4,Hertfordshire
HP5,Buckinghamshire
HP6,Buckinghamshire
HP7,Buckinghamshire
HP8,Buckinghamshire
HP9,Buckinghamshire
HR1,Herefordshire
HR2,Herefordshire
HR3,Herefordshire
HR4,Herefordshire
HR5,County of Herefordshire
HR6,County of Herefordshire
HR7,County of Herefordshire
HR8,County of Herefordshire
HR9,County of Herefordshire
HS1,Outer Hebrides
HS2,Ross-shire
HS3,Inverness-shire
HS4,Inverness-shire
HS5,Inverness-shire
HS6,Inverness-shire
HS7,Inverness-shire
HS8,Inverness-shire
HS9,Inverness-shire
HU1,East Yorkshire
HU10,East Yorkshire
HU11,East Yorkshire
HU12,East Yorkshire
HU13,East Yorkshire
HU14,East Yorkshire
HU15,East Yorkshire
HU16,East Yorkshire
HU17,East Yorkshire
HU18,East Yorkshire
HU19,East Yorkshire
HU2,East Yorkshire
HU20,East Yorkshire
HU3,East Yorkshire
HU4,East Yorkshire
HU5,East Yorkshire
HU6,East Yorkshire
HU7,East Yorkshire
HU8,East Yorkshire
HU9,East Yorkshire
HX1,West Yorkshire
HX2,West Yorkshire
HX3,West Yorkshire
HX4,West Yorkshire
HX5,West Yorkshire
HX6,West Yorkshire
HX7,West Yorkshire
IG1,Essex
IG10,Essex
IG11,Essex
IG2,Essex
IG3,Essex
IG4,Essex
IG5,Essex
IG6,Essex
IG7,Essex
IG8,Essex
IG9,Essex
IP1,Suffolk
IP10,Suffolk
IP11,Suffolk
IP12,Suffolk
IP13,Suffolk
IP14,Suffolk
IP15,Suffolk
IP16,Suffolk
IP17,Suffolk
IP18,Suffolk
IP19,Suffolk
IP2,Suffolk
IP20,Norfolk
IP21,Suffolk
IP22,Norfolk
IP23,Suffolk
IP24,Norfolk
IP25,Norfolk
IP26,Norfolk
IP27,Suffolk
IP28,Suffolk
IP29,Suffolk
IP3,Suffolk
IP30,Suffolk
IP31,Suffolk
IP32,Suffolk
IP33,Suffolk
IP4,Suffolk
IP5,Suffolk
IP6,Suffolk
IP7,Suffolk
IP8,Suffolk
IP9,Suffolk
IV1,Inverness-shire
IV10,Ross-shire
IV11,Highland
IV12,Highland
IV13,Inverness-shire
IV14,Ross-shire
IV15,Ross-shire
IV16,Ross-shire
IV17,Ross-shire
IV18,Ross-shire
IV19,Ross-shire
IV2,Inverness-shire
IV20,Ross-shire
IV21,Ross-shire
IV22,Ross-shire
IV23,Ross-shire
IV24,Ross-shire
IV25,Sutherland
IV26,Highland
IV27,Sutherland
IV28,Sutherland
IV3,Inverness-shire
IV30,Morayshire
IV31,Morayshire
IV32,Morayshire
IV36,Morayshire
IV4,Inverness-shire
IV40,Ross-shire
IV41,Inverness-shire
IV42,Inverness-shire
IV43,Inverness-shire
IV44,Inverness-shire
IV45,Inverness-shire
IV46,Inverness-shire
IV47,Inverness-shire
IV48,Inverness-shire
IV49,Inverness-shire
IV5,Inverness-shire
IV51,Highland
IV52,Ross-shire
IV53,Ross-shire
IV54,Ross-shire
IV55,Inverness-shire
IV56,Inverness-shire
IV6,Ross-shire
IV63,Inverness-shire
IV7,Ross-shire
IV8,Ross-shire
IV9,Ross-shire
KA1,Ayrshire
KA10,Ayrshire
KA11,Ayrshire
KA12,Ayrshire
KA13,Ayrshire
KA14,Ayrshire
KA15,Ayrshire
KA16,Ayrshire
KA17,Ayrshire
KA18,Ayrshire
KA19,Ayrshire
KA2,Ayrshire
KA20,Ayrshire
KA21,Ayrshire
KA22,Ayrshire
KA23,Ayrshire
KA24,Ayrshire
KA25,Ayrshire
KA26,Ayrshire
KA27,Buteshire
KA28,Buteshire
KA29,Ayrshire
KA3,Ayrshire
KA30,Ayrshire
KA4,Ayrshire
KA5,Ayrshire
KA6,South Ayrshire
KA7,South Ayrshire
KA8,South Ayrshire
KA9,Ayrshire
KT1,Surrey
KT10,Surrey
KT11,Surrey
KT12,Surrey
KT13,Surrey
KT14,Surrey
KT15,Surrey
KT16,Surrey
KT17,Surrey
KT18,Surrey
KT19,Surrey
KT2,Surrey
KT20,Surrey
KT21,Surrey
KT22,Surrey
KT23,Surrey
KT24,Surrey
KT3,Surrey
KT4,Surrey
KT5,Surrey
KT6,Surrey
KT7,Surrey
KT8,Surrey
KT9,Surrey
KW1,Caithness
KW10,Sutherland
KW11,Sutherland
KW12,Caithness
KW13,Sutherland
KW14,Caithness
KW15,Orkney
KW16,Orkney
KW17,Orkney
KW2,Caithness
KW3,Caithness
KW5,Caithness
KW6,Caithness
KW7,Caithness
KW8,Sutherland
KW9,Sutherland
KY1,Fife
KY10,Fife
KY11,Fife
KY12,Fife
KY13,Kinross-Shire
KY14,Fife
KY15,Fife
KY16,Fife
KY2,Fife
KY3,Fife
KY4,Fife
KY5,Fife
KY6,Fife
KY7,Fife
KY8,Fife
KY9,Fife
L1,Lancashire
L10,Lancashire
L11,Lancashire
L12,Lancashire
L13,Lancashire
L14,Lancashire
L15,Lancashire
L16,Lancashire
L17,Lancashire
L18,Lancashire
L19,Lancashire
L2,Lancashire
L20,Lancashire
L21,Lancashire
L22,Lancashire
L23,Lancashire
L24,Lancashire
L25,Lancashire
L26,Lancashire
L27,Lancashire
L28,Lancashire
L29,Lancashire
L3,Lancashire
L30,Lancashire
L31,Lancashire
L32,Lancashire
L33,Lancashire
L34,Lancashire
L35,Lancashire
L36,Lancashire
L37,Lancashire
L38,Lancashire
L39,Lancashire
L4,Lancashire
L40,Lancashire
L5,Lancashire
L6,Lancashire
L69,Lancashire
L7,Lancashire
L70,Lancashire
L8,Lancashire
L9,Lancashire
LA1,Lancashire
LA10,Cumbria
LA11,Lancashire
LA12,Lancashire
LA13,Lancashire
LA14,Lancashire
LA15,Lancashire
LA16,Lancashire
LA17,Lancashire
LA18,Cumberland
LA19,Cumberland
LA2,Lancashire
LA20,Lancashire
LA21,Lancashire
LA22,Westmorland
LA23,Westmorland
LA3,Lancashire
LA4,Lancashire
LA5,Lancashire
LA6,Lancashire
LA7,Westmorland
LA8,Westmorland
LA9,Westmorland
LD1,Radnorshire
LD2,Brecknockshire
LD3,Brecknockshire
LD4,Brecknockshire
LD5,Brecknockshire
LD6,Radnorshire
LD7,Radnorshire
LD8,Radnorshire
LE1,Leicestershire
LE10,Leicestershire
LE11,Leicestershire
LE12,Leicestershire
LE13,Leicestershire
LE14,Leicestershire
LE15,Rutland
LE16,Leicestershire
LE17,Leicestershire
LE18,Leicestershire
LE2,Leicestershire
